oldName,newName,file,line,isExported,numReferences
buildLcsDp,buildLongestCommonSubsequenceDiffTable,./api/line-diff.js,10,N,2
buildMultiRefs,buildGitRefFallbackList,./api/git-file-state.js,51,Y,10
buildSeeds,buildFilePathSearchSeeds,./tools/find-jsonls-at-commit.js,44,N,2
buildSub,buildBashReadChunkSubEvent,./api/bash-read-events.js,72,N,2
buildTurns,splitBoundaryLinesToConversationTurns,./tools/turn-analyzer.js,33,N,3
buildVerifyResult,buildReplayVsOnDiskComparisonResult,./api/replay-verification.js,71,N,2
buildVisibleTree,buildVisibleConversationTree,./viewer/viewer-tree-build.js,2,N,1
bump,incrementBumpCounter,./plans/research/properties/originalFile/scan.js,52,N,4
catEventsForFile,extractCatEvents,./api/file-events-extractors.js,189,Y,6
catLineEntries,buildCatLineEntries,./api/line-state-evidence.js,70,Y,6
characterizationFixture,buildReadScannerTestFixture,./tests/test-read-event-scanner.js,194,N,3
chunkEntries,buildBashReadChunkLineEntries,./api/bash-read-evidence.js,19,N,2
chunkEvent,buildBashReadChunkEventFixture,./tests/test-bash-read-evidence.js,19,N,4
clearPanes,resetPanes,./web-shared/jfred-panes.js,65,Y,6
cmpVer,compareVersions,./plans/research/properties/originalFile/scan.js,102,N,3
compareByJsonlLine,compareByJsonlLineIndex,./api/file-events-extractors.js,207,N,2
compareLine,compareLineForVerdict,./api/final-line-verdict.js,27,N,2
contentLineSpans,computeContentLineSpans,./api/line-state-evidence.js,32,Y,7
contextEntry,buildPatchContextLineEntry,./api/structured-patch-evidence.js,19,N,2
coveredTargetForSource,findCoveredTargetForSource,./tools/spike-item6-context-mode-yield.js,194,N,2
cwdFromFolderName,extractCwdFromFolderName,./api/transcript-discovery.js,38,Y,5
defaultBaseHistoryDir,getDefaultBaseHistoryDir,./api/snapshot-store-io.js,18,Y,9
defaultProjectsDir,getDefaultProjectsDir,./tools/find-jsonls-for-file.js,40,N,2
defaultProjectsDir,getDefaultProjectsDir,./tools/find-jsonls-at-commit.js,55,N,2
defaultSnapshotsBase,getDefaultSnapshotsBase,./api/snapshot-events.js,16,Y,7
earliestTouch,findEarliestTouch,./api/file-path-history.js,74,N,2
earliestTouchOfFile,findEarliestTouchOfFile,./tools/probe-v2-assembly.js,14,N,2
editBelongsToFile,doesEditBelongToFile,./tools/probe-v2-assembly.js,62,N,5
editBelongsToFile,doesEditBelongToFile,./api/file-historical-lineage.js,232,Y,29
editsForFile,collectEditsForFile,./api/file-event-wishlists.js,24,Y,15
editWasKept,wasEditKept,./tools/probe-v2-assembly.js,71,N,2
emit,emitEvents,./tests/test-bash-read-events.js,25,N,13
emptyStats,createEmptyVerdictCounters,./api/final-line-verdict.js,8,N,2
eofConfirmedAt,findEofConfirmationLine,./tools/assemble-split-reads.js,109,N,3
eofConfirmedAt,findEofConfirmationLine,./api/split-read-assembly.js,49,N,2
equalPrefixCount,countEqualPrefixLines,./api/edit-splice.js,35,N,2
equalSuffixCount,countEqualSuffixLines,./api/edit-splice.js,46,N,2
esc,escapeHtml,./web-shared/json-inspector.js,5,Y,96
esc,escapeHtml,./viewer/viewer-globals.js,25,N,1
eventHasAnyKind,doesEventHaveAnyKind,./api/file-event-kinds.js,42,Y,10
eventsForOp,extractEventsFromBashFileOp,./api/bash-op-events.js,69,N,2
eventsForResult,extractEventsFromGrepToolResult,./api/grep-tool-events.js,28,N,2
fail,exitWithError,./tools/find-jsonls-for-file.js,45,N,2
fail,exitWithError,./tools/find-jsonls-at-commit.js,96,N,6
failingRecord,buildMismatchProbeRecord,./tests/test-probe-v2-report.js,19,N,7
fileModifyingEventsInTranscript,extractFileModifyingEventsFromTranscript,./api/edit-stream-extraction.js,236,Y,11
finishChunk,finalizeChunk,./api/line-belief.js,103,Y,11
firstAvailableSource,findFirstAvailableReferenceSource,./tools/probe-engine-b.js,22,N,2
firstAvailableSource,findFirstAvailableReferenceSource,./api/reconstruction-reference-sources.js,35,N,2
firstGapLine,findFirstGapLine,./api/edit-splice.js,107,N,4
firstMatchingLine,findFirstMatchingTouchLine,./api/transcript-discovery.js,62,N,2
firstMatchingSource,findFirstContentMatchingReferenceSource,./api/reconstruction-reference-sources.js,26,N,2
firstNonEmptyLine,findFirstNonEmptyLine,./api/line-state-evidence.js,61,N,2
firstTextItem,findFirstTextContentItem,./api/transcript-parsers.js,6,N,2
flattenedOutputName,convertPathToFlatFilename,./tools/assemble-split-reads.js,174,N,2
getRows,fetchAllLineRows,./diff/jfred-diff-filter-mode.js,8,N,5
gitAvailable,isGitAvailable,./tests/test-track-line-states-reference.js,14,N,5
gitFollowHistory,resolveGitFollowHistory,./api/git-file-state.js,164,Y,11
gitShowFile,readGitFileContent,./api/git-file-state.js,24,Y,7
gitUnavailable,isGitUnavailable,./tests/test-spike-item16-list2-notfound-yield.js,42,N,4
hunksHaveContextLine,doHunksHaveContextLine,./api/structured-patch-events.js,25,Y,11
indexFields,buildJsonFieldToJsonlLineNumberMap,./web-shared/jfred-filter.js,24,N,2
indexObject,addObjectToJsonFieldToJsonlLineNumberMap,./web-shared/jfred-filter.js,33,N,3
indexOfEventKind,findIndexOfEventKind,./tests/test-track-line-states-usermodified.js,16,N,3
indexParsedLine,addParsedLineToUuidAndSnapshotLookups,./api/transcript-parsers.js,108,N,2
indexVis,addVisibleNodeToUuidNodeMap,./viewer/viewer-tree-build.js,119,N,4
keptEditsArrayFromText,extractKeptEditsFromJsonlText,./api/replay-verification.js,114,N,3
kindRank,computeKindRank,./api/track-line-states.js,27,N,3
knownRuns,extractKnownRuns,./api/line-belief.js,34,Y,7
labelIsBatch,isLabelBatch,./tools/spike-item6-context-mode-yield.js,81,N,2
latestSnapshotBlob,findLatestSnapshotBlob,./tools/track-line-states.js,55,N,2
latestTouch,findLatestTouch,./api/file-path-history.js,84,N,2
leadingShiftOffset,computeLeadingShiftOffset,./api/conflict-cascade-collapse.js,88,N,2
lineDiff,computeLineDiff,./viewer/viewer-diff.js,2,N,2
lineDiff,computeLineDiff,./api/line-diff.js,34,Y,25
lineNums,extractLineNums,./tests/test-structured-patch-evidence.js,28,N,3
linesAndParsed,parseJsonlLines,./tests/test-read-event-scanner.js,50,N,19
lse,requireLineStateEvidence,./api/bash-read-evidence.js,14,N,6
lse,requireLineStateEvidence,./api/bash-op-evidence.js,16,N,4
lse,requireLineStateEvidence,./api/grep-tool-evidence.js,14,N,3
lse,requireLineStateEvidence,./api/structured-patch-evidence.js,15,N,2
main,runMain,./tools/find-jsonls-for-file.js,52,N,4
main,runMain,./tools/detect-rewinds.js,146,N,3
main,runMain,./tools/probe-engine-b.js,118,N,3
main,runMain,./tools/track-line-states.js,104,N,5
main,runMain,./tools/turn-analyzer.js,154,N,3
main,runMain,./tools/replay-edits.js,88,N,3
main,runMain,./tools/diagnose-mismatch.js,61,N,3
main,runMain,./tools/find-jsonls-at-commit.js,103,N,3
main,runMain,./tools/reconstruct.js,142,N,3
main,runMain,./tools/probe-projects-v2.js,263,N,3
main,runMain,./tools/spike-item16-list2-notfound-yield.js,97,N,4
main,runMain,./tools/assemble-split-reads.js,197,N,3
main,runMain,./tools/spike-item6-context-mode-yield.js,222,N,3
main,runMain,./tools/unified-reconstruct.js,10,N,3
main,runMain,./plans/research/properties/originalFile/scan.js,130,N,3
makeBashCatToolResult,buildBashCatToolResult,./tests/test-helpers.js,115,Y,41
makeBashCatToolUse,buildBashCatToolUse,./tests/test-helpers.js,107,Y,19
makeBashCommandLine,buildBashCommandLine,./tests/test-helpers.js,163,Y,48
makeBashPipedCatToolUse,buildBashPipedCatToolUse,./tests/test-helpers.js,124,Y,4
makeBashToolResult,buildBashToolResult,./tests/test-extract-bash-file-ops.js,215,N,5
makeBashToolUse,buildBashToolUse,./tests/test-extract-bash-file-ops.js,200,N,5
makeChunkReadResult,buildChunkReadResult,./tests/test-split-read-assembly.js,23,N,11
makeChunkReadUse,buildChunkReadUse,./tests/test-split-read-assembly.js,15,N,11
makeEdit,buildEditFixture,./tests/test-user-modified-events.js,17,N,11
makeEditLine,buildEditLine,./tests/test-helpers.js,68,Y,41
makeGrepToolResult,buildGrepToolResult,./tests/test-helpers.js,182,Y,12
makeGrepToolUse,buildGrepToolUse,./tests/test-helpers.js,172,Y,10
makeKindEvent,buildKindEvent,./tests/test-line-state-evidence.js,10,N,11
makeStep,buildStep,./api/unified-reconstruct-step-extractors.js,18,Y,50
matchedAliasPathForSnapshotKey,matchAliasPathToSnapshotKey,./api/snapshot-events.js,42,N,2
matchesTargetFile,doesMatchTargetFile,./api/unified-reconstruct-step-extractors.js,39,Y,18
materializeBashAppend,materializeBashAppendEvidence,./api/bash-op-evidence.js,125,Y,5
materializeBashExtent,materializeBashExtentEvidence,./api/bash-read-evidence.js,40,Y,6
materializeBashGrep,materializeBashGrepEvidence,./api/bash-read-evidence.js,70,Y,5
materializeBashReadChunk,materializeBashReadChunkEvidence,./api/bash-read-evidence.js,30,Y,7
materializeBashRm,materializeBashRmEvidence,./api/bash-op-evidence.js,37,Y,5
materializeBashTruncate,materializeBashTruncateEvidence,./api/bash-op-evidence.js,116,Y,5
materializeByLineKind,materializeByLineKind,./api/line-state-evidence.js,154,N,4
materializeEdit,materializeEditEvidence,./api/line-state-evidence.js,145,N,2
materializeEvent,materializeEventEvidence,./api/line-state-evidence.js,184,Y,15
materializeGrepMatches,materializeGrepMatchEvidence,./api/grep-tool-evidence.js,25,Y,7
materializeOriginalFile,materializeOriginalFileEvidence,./api/line-state-evidence.js,161,N,2
materializePatchContext,materializePatchContextEvidence,./api/structured-patch-evidence.js,46,Y,8
materializeSnapshot,materializeSnapshotEvidence,./api/line-state-evidence.js,134,N,2
materializeUserModified,materializeUserModifiedEvidence,./api/line-state-evidence.js,170,N,2
materializeWrite,materializeWriteEvidence,./api/line-state-evidence.js,115,N,2
maxByLineNum,findMaxByLineNum,./api/apply-one-event.js,11,N,6
maxLineNum,findMaxLineNum,./api/edit-splice.js,57,N,2
mentionsFile,doesMentionFile,./api/unified-reconstruct.js,160,N,2
messageContent,extractMessageContent,./tools/assemble-split-reads.js,29,N,3
mismatchEntryKey,computeMismatchEntryKey,./tools/probe-v2-report.js,149,N,3
momentKey,computeMomentKey,./api/conflict-cascade-collapse.js,32,N,2
newAcc,createAccumulator,./plans/research/properties/originalFile/scan.js,54,N,2
nextMatch,selectNextMatch,./web-shared/jfred-filter.js,99,Y,3
nodeTypeOf,detectNodeType,./viewer/viewer-inspect.js,2,N,1
nonEmptySpan,validateNonEmptySpan,./api/bash-op-evidence.js,72,N,3
numberedEntries,buildNumberedEntries,./api/numbered-entries.js,26,Y,13
numberedLineEntries,buildNumberedLineEntries,./api/line-state-evidence.js,48,Y,8
offsetEntries,applyOffsetToEntries,./api/bash-op-evidence.js,100,N,2
ofState,classifyOriginalFileState,./plans/research/properties/originalFile/scan.js,34,N,2
onDiskSource,buildOnDiskReferenceSource,./tests/test-probe-v2-provenance.js,13,N,6
opEvents,extractBashOpEventsFromTestLines,./tests/test-bash-op-events.js,27,N,9
origFile,extractOrigFile,./api/unified-reconstruct-step-extractors.js,124,N,2
originalFileEventsFromEdits,extractOriginalFileEventsFromEdits,./api/file-events-extractors.js,136,Y,11
outputJson,writeJsonOutput,./tools/reconstruct.js,76,N,2
outputText,writeTextOutput,./tools/reconstruct.js,121,N,2
overlayLine,applyOverlayLine,./api/line-belief.js,71,Y,13
pair,buildTimestampedCommandResultPair,./tests/test-bash-read-events.js,18,N,12
pairContentLines,pairContentLines,./api/line-state-evidence.js,100,N,3
pairEntriesWithRefs,pairEntriesWithReferences,./api/line-state-evidence.js,108,Y,9
parsedFrom,parseJsonlLinesToRecords,./tests/test-bash-read-events.js,13,N,3
parseJsonlLines,parseUnifiedJsonlLines,./api/unified-reconstruct-step-extractors.js,66,Y,7
parseJSONLLines,parseTranscriptRecords,./api/transcript-parsers.js,130,Y,15
parseJsonlWithSession,loadJsonlWithSession,./api/reconstruction-reference-sources.js,205,N,2
parseLines,parseRawLines,./api/file-historical-lineage.js,104,N,2
parseToParsed,parseRawLinesToJsonRecords,./tests/test-file-event-observations.js,18,N,5
parseWc,parseWcOutput,./api/bash-read-commands.js,72,N,2
partitionAttachments,partitionAttachments,./viewer/viewer-tree-build.js,106,N,3
passing,countPassing,./tools/probe-v2-shared.js,28,N,3
passingRecord,buildPassingProbeRecord,./tests/test-probe-v2-report.js,11,N,2
patch,buildPatchFixture,./api/unified-reconstruct-step-extractors.js,125,N,2
patchContextEventsFromEdits,extractPatchContextEvents,./api/structured-patch-events.js,60,Y,12
plainLineEntries,buildPlainLineEntries,./api/line-state-evidence.js,53,Y,7
prevMatch,selectPrevMatch,./web-shared/jfred-filter.js,106,Y,2
printfIsLiteral,isPrintfContentLiteral,./api/bash-op-evidence.js,64,N,2
printfSpan,extractPrintfSpan,./api/bash-op-evidence.js,77,N,2
q,runGitCommand,./tests/test-git-file-state.js,260,N,8
q,runGitCommand,./tests/test-reference-ladder.js,25,N,20
q,runGitCommand,./tests/test-spike-item16-list2-notfound-yield.js,27,N,8
q,runGitCommand,./tests/test-track-line-states-reference.js,27,N,14
rc,extractRedirectContent,./tests/test-bash-op-evidence.js,14,N,12
readsForFile,getReadsForFile,./api/file-event-wishlists.js,17,Y,9
readTranscriptTexts,loadTranscriptTexts,./api/reconstruction-reference-sources.js,175,N,2
recordKind,classifyRecordKind,./plans/research/properties/originalFile/scan.js,44,N,2
recordPatch,appendPatchRecord,./api/unified-reconstruct.js,57,N,5
recordTimestampAt,getTimestampAtRecord,./api/file-events-extractors.js,60,N,4
recordWithHunkLines,buildRecordWithHunkLines,./tests/test-structured-patch-events.js,16,N,4
ref,buildRef,./tests/test-line-belief.js,9,N,12
ref,buildRef,./tests/test-edit-splice.js,10,N,10
ref,buildRef,./tests/test-final-line-verdict.js,9,N,3
referencePathForSource,resolveReferencePathForSource,./tools/probe-v2-report.js,10,N,2
refForAuthoredEditLine,buildRefForAuthoredEditLine,./api/line-state-evidence.js,209,Y,7
refForLine,buildRefForLine,./api/apply-one-event.js,60,N,2
regionMatches,checkRegionMatch,./api/unified-reconstruct-patch.js,24,Y,14
relaxFrom,relaxWindowFrom,./api/alias-windows.js,59,N,2
relaxNeighbor,relaxNeighborWindow,./api/alias-windows.js,44,N,2
renderNode,renderTreeNode,./diff/jfred-diff-tree.js,93,N,3
renderSingle,renderSingleNode,./viewer/viewer-tree-render.js,91,N,3
renderSteps,renderReconstructionStepRows,./web-shared/jfred-steps.js,33,Y,4
resolver,getResolver,./api/bash-read-touches.js,19,N,3
resolver,getResolver,./api/grep-tool-results.js,102,N,2
rewindReverts,doRewindReverts,./api/rewind-classification.js,208,N,2
rmEventsForOp,extractRmEvents,./api/bash-op-events.js,32,N,2
roleClass,deriveRoleClass,./viewer/viewer-tree-render.js,14,N,3
rootFromTranscripts,findProjectRootFromTranscripts,./tools/probe-projects-v2.js,28,N,2
rowIsForFile,isGrepRowForFile,./api/grep-tool-evidence.js,18,N,2
rowOf,formatStatisticsRow,./plans/research/properties/originalFile/scan.js,95,N,4
sedScriptGeometry,parseSedScriptGeometry,./api/bash-read-commands.js,41,N,2
sessionWith,buildSessionFixture,./tests/test-grep-tool-events.js,14,N,4
sha256hex,computeSha256Hex,./tools/spike-item6-context-mode-yield.js,22,N,3
showStep,showStep,./web-shared/jfred-steps.js,87,Y,28
showStep,showStep,./unified/jfred-unified-load.js,42,Y,28
showStep,showStep,./diff/jfred-diff-main.js,100,Y,28
showToast,showToast,./viewer/viewer-load.js,29,N,3
sidecarConcludesAbsent,checkSidecarAbsence,./api/scenario-reconstruction-engines.js,42,Y,6
simpleDiff,buildSimpleDiff,./tests/verify-all-scenarios.js,86,N,2
singleQuotedSpan,extractSingleQuotedSpan,./api/bash-op-evidence.js,56,N,3
sizeTreePane,layoutTreePane,./diff/jfred-diff-tree.js,114,N,2
snapshotContext,buildSnapshotTestContext,./tests/test-snapshot-events.js,24,N,2
snapshotDedupKey,buildSnapshotDeduplicationKey,./api/snapshot-events.js,68,Y,5
snapshotEvent,buildSnapshotBlobEvent,./tests/test-track-line-states-reference.js,40,N,2
snapshotEventsForFile,extractSnapshotEventsForFile,./api/snapshot-events.js,73,Y,7
snapshotKeyMatchesTarget,doesSnapshotKeyMatchTarget,./api/unified-reconstruct-step-extractors.js,45,Y,4
snapshotLine,buildSnapshotJsonlLine,./tests/test-reconstruction-reference-sources.js,18,N,4
snapshotLine,buildSnapshotJsonlLine,./tests/test-file-event-observations.js,99,N,2
snapshotRecord,buildSnapshotJsonlRecord,./tests/test-snapshot-events.js,15,N,6
snapshotSource,buildSnapshotReferenceSource,./tests/test-probe-v2-provenance.js,16,N,6
spliceArray,applyArraySplice,./api/unified-reconstruct-patch.js,33,N,2
splicedRunText,applySpliceToRunText,./api/edit-splice.js,28,N,2
splitContentLines,splitContentIntoLineSpans,./api/line-state-evidence.js,24,Y,18
stageSingleCreateFixture,prepareSingleCreateFixture,./tests/test-probe-projects-v2.js,13,N,6
stampTouchTimestamps,attachTouchTimestamps,./api/file-historical-lineage.js,118,N,3
stepRowHtml,renderStepRow,./web-shared/jfred-steps.js,15,N,2
stepSource,deriveStepEditSource,./web-shared/jfred-steps.js,11,N,2
structuredPatchForEdit,getStructuredPatchForEdit,./api/structured-patch-events.js,37,N,2
subagentJsonlsReferencing,findReferencingSubagentJsonls,./api/subagent-transcript-discovery.js,60,Y,5
subtreeAllAttachments,isSubtreeAllAttachments,./viewer/viewer-tree-build.js,99,N,3
summary,printTestSummary,./tests/test-helpers.js,21,Y,215
syncScroll,synchronizeScroll,./web-shared/jfred-layout.js,94,N,2
syntaxHighlight,highlightJsonSyntax,./web-shared/json-inspector.js,9,Y,29
syntaxHighlight,highlightJsonSyntax,./viewer/viewer-load.js,2,N,1
tallyRecord,accumulateRecordTally,./plans/research/properties/originalFile/scan.js,59,N,2
tallyTranscript,accumulateTranscriptTally,./tools/spike-item6-context-mode-yield.js,136,N,2
test,registerTest,./tests/test-scenario-reconstruction-check.js,41,N,21
test,registerTest,./tests/test-scenario-reconstruction-engines.js,36,N,11
textBlockResult,findFirstTextBlockInToolResult,./api/evidence-record-access.js,27,N,2
toolResultText,extractToolResultText,./tools/assemble-split-reads.js,36,N,3
toolResultText,extractToolResultText,./api/read-event-scanner.js,31,Y,7
toolResultTextOfItem,extractToolResultTextWithProperty,./api/evidence-record-access.js,37,N,2
touchedLinesAt,collectTouchedLinesAtTimestamp,./api/track-line-states.js,107,N,2
touchedPathsForText,collectTouchedPathsFromJsonlText,./tools/spike-item6-context-mode-yield.js,119,N,2
touchForResult,buildTouchFromToolResult,./api/bash-read-touches.js,45,N,2
touchKindForEdit,classifyTouchKind,./api/file-historical-lineage.js,58,N,2
toVisNode,convertToVisibleNode,./viewer/viewer-tree-build.js,39,N,3
traceLcs,traceLongestCommonSubsequencePath,./api/line-diff.js,22,N,2
transcriptResolvesRepo,checkTranscriptResolvesRepo,./tools/spike-item16-list2-notfound-yield.js,28,N,2
transcriptWithGit,buildTranscriptWithGit,./tests/test-reference-ladder.js,36,N,12
transcriptWithGit,buildTranscriptWithGit,./tests/test-spike-item16-list2-notfound-yield.js,37,N,6
transcriptWithGit,buildTranscriptWithGit,./tests/test-track-line-states-reference.js,34,N,6
unionTouched,collectUnionTouchedPaths,./tools/spike-item6-context-mode-yield.js,166,N,2
unproveEof,clearEofConfirmation,./api/line-belief.js,120,Y,4
unquotePath,stripPathQuotes,./api/extract-bash-file-ops.js,5,Y,17
userModifiedEventsFromEdits,extractUserModifiedEventsFromEdits,./api/user-modified-events.js,39,Y,7
verdictIsPerLinePerfect,checkVerdictPerLinePerfect,./api/promote-per-line-status.js,26,Y,12
walk,walkDirectory,./plans/research/properties/originalFile/scan.js,23,N,4
walk,walkDirectory,./viewer/viewer-tree-render.js,63,N,3
withoutEdit,filterWithoutEdit,./tests/test-track-line-states-patchcontext.js,32,N,2
withTimestamp,stampJsonlRecordTimestamp,./tests/test-file-events-extractors.js,15,N,12
withTimestamp,stampJsonlRecordTimestamp,./tests/test-track-line-states-originalfile.js,18,N,5
withTimestamp,stampJsonlRecordTimestamp,./tests/test-file-event-wishlists.js,16,N,3
withTimestamp,stampJsonlRecordTimestamp,./tests/track-line-states-fixtures.js,19,Y,121
withTimestamp,stampJsonlRecordTimestamp,./tests/test-file-events-extractors-bash.js,14,N,5
withTs,stampJsonlRecordTimestamp,./tests/test-bash-op-evidence.js,18,N,4
withTs,stampJsonlRecordTimestamp,./tests/test-bash-op-events.js,15,N,8
