oldName,needsRename,newName
applyFilterMode,N,applyFilterMode
applyFloating,N,applyFloating
applyLocatedSplice,N,applyLocatedSplice
applyOneEvent,N,applyOneEvent
applyOverlayLines,N,applyOverlayLines
applyPatchToState,N,applyPatchToState
applyReplaceAllToBelief,N,applyReplaceAllToBelief
applyReplaceOp,N,applyReplaceOp
applySingleEdit,N,applySingleEdit
applySnapshotVerify,N,applySnapshotVerify
applySourceToState,N,applySourceToState
applyStepToContent,N,applyStepToContent
applyTypeGate,N,applyTypeGate
applyValueFlag,N,applyValueFlag
applyWrite,N,applyWrite
assembleKeptEdits,N,assembleKeptEdits
assembleOneFile,N,assembleOneFile
assembleSplitReads,N,assembleSplitReads
assertOnlyKindNonNull,N,assertOnlyKindNonNull
attachFlat,Y,collectFlatNodes
authoredEntryFor,Y,buildAuthoredReportEntry
authoredEventsFromKeptEdits,Y,extractAuthoredEvents
authoredKindForEdit,Y,classifyAuthoredKindForEdit
authoredRefFor,Y,buildAuthoredRef
autoLoadFromQuery,N,autoLoadFromQuery
backupNameIfBasenameMatches,N,backupNameIfBasenameMatches
bashOpEventsForFile,Y,extractBashOpEvents
bashReadEventsForFile,Y,extractBashReadEvents
batchVerify,Y,verifyAllJsonlFilesAgainstDisk
beliefWithLines,Y,buildBeliefFromLines
bindBranchViewEvents,N,bindBranchViewEvents
bindClick,Y,bindClickHandler
bindFilterEvents,N,bindFilterEvents
btns,Y,renderActionButtons
buildAdaptedStep,N,buildAdaptedStep
buildAuthoredEvent,N,buildAuthoredEvent
buildBackupKindEvent,N,buildBackupKindEvent
buildBlobFileRef,N,buildBlobFileRef
buildCatPending,N,buildCatPending
buildChips,Y,buildFilterBarChips
buildCollapsedConflictRecord,N,buildCollapsedConflictRecord
buildConflictRecord,N,buildConflictRecord
buildContentEditSub,N,buildContentEditSub
buildConversationSteps,N,buildConversationSteps
buildCreateOrUpdateEdit,N,buildCreateOrUpdateEdit
buildDataSourcesBlock,N,buildDataSourcesBlock
buildDeleteJsonl,Y,buildDeleteJsonlFixture
buildDiffForLine,N,buildDiffForLine
buildEditFromToolUseResult,N,buildEditFromToolUseResult
buildEditObject,N,buildEditObject
buildEditRecord,N,buildEditRecord
buildEditStep,N,buildEditStep
buildEditSub,N,buildEditSub
buildEngineBRecord,N,buildEngineBRecord
buildFilePathHistoryIndex,N,buildFilePathHistoryIndex
buildFilePathMap,N,buildFilePathMap
buildFilePathMapFromPaths,N,buildFilePathMapFromPaths
buildFileRecord,N,buildFileRecord
buildFileStateHistory,N,buildFileStateHistory
buildFileTree,N,buildFileTree
buildFileWriteEntry,N,buildFileWriteEntry
buildFilterBar,N,buildFilterBar
buildFinalVerdict,N,buildFinalVerdict
buildFixtureSubfolder,N,buildFixtureSubfolder
buildFloatingConflictInfo,N,buildFloatingConflictInfo
buildFloatingConflictRecord,N,buildFloatingConflictRecord
buildGitOpts,Y,buildGitRepoAndBranchOptions
buildGrepResult,N,buildGrepResult
buildGrepRow,N,buildGrepRow
buildHunks,N,buildHunks
buildLcsDp,Y,buildLongestCommonSubsequenceDiffTable
buildLineageGraph,N,buildLineageGraph
buildLineageOp,N,buildLineageOp
buildMinimalJsonl,N,buildMinimalJsonl
buildMismatchEntry,N,buildMismatchEntry
buildMismatchesSkeleton,N,buildMismatchesSkeleton
buildMismatchRecord,N,buildMismatchRecord
buildMultiRefs,Y,buildGitRefFallbackList
buildNotFoundResult,N,buildNotFoundResult
buildNumberedEntry,N,buildNumberedEntry
buildOriginalFileEvent,N,buildOriginalFileEvent
buildPatchContextEvent,N,buildPatchContextEvent
buildPatchText,N,buildPatchText
buildPerFileRecord,N,buildPerFileRecord
buildPerTranscriptEdits,N,buildPerTranscriptEdits
buildPromptEntry,N,buildPromptEntry
buildReadKindEvent,N,buildReadKindEvent
buildReadScanPending,N,buildReadScanPending
buildRefWithLocator,N,buildRefWithLocator
buildReplaceEdit,N,buildReplaceEdit
buildReplaceEditSub,N,buildReplaceEditSub
buildResultsPayload,N,buildResultsPayload
buildRewindEntry,N,buildRewindEntry
buildRewindLineMap,N,buildRewindLineMap
buildRewindTranscript,N,buildRewindTranscript
buildSeeds,Y,buildFilePathSearchSeeds
buildSkippedNotes,N,buildSkippedNotes
buildSnapshotEdit,N,buildSnapshotEdit
buildStatusByLine,N,buildStatusByLine
buildStatusByLineMap,N,buildStatusByLineMap
buildStatusLookup,N,buildStatusLookup
buildStepEntry,N,buildStepEntry
buildStepLineMap,N,buildStepLineMap
buildStepObject,N,buildStepObject
buildStructuredPatchRef,N,buildStructuredPatchRef
buildSub,Y,buildBashReadChunkSubEvent
buildTextPropertyRef,N,buildTextPropertyRef
buildTimelineEntry,N,buildTimelineEntry
buildTranscript,N,buildTranscript
buildTurns,Y,splitBoundaryLinesToConversationTurns
buildUniqueFilesMap,N,buildUniqueFilesMap
buildUserEditStep,N,buildUserEditStep
buildUserModifiedConflictInfo,N,buildUserModifiedConflictInfo
buildUserModifiedEvent,N,buildUserModifiedEvent
buildVerdict,N,buildVerdict
buildVerifyResult,Y,buildReplayVsOnDiskComparisonResult
buildVisibleTree,Y,buildVisibleConversationTree
buildWindowedEdges,N,buildWindowedEdges
buildWriteJsonl,N,buildWriteJsonl
bump,Y,incrementBumpCounter
carryAuthoredFields,N,carryAuthoredFields
catEventsForFile,Y,extractCatEvents
catLineEntries,Y,buildCatLineEntries
characterizationFixture,Y,buildReadScannerTestFixture
checkBackupVersions,N,checkBackupVersions
checkBeforeAfterWindow,N,checkBeforeAfterWindow
checkCatToolResult,N,checkCatToolResult
checkCatToolUse,N,checkCatToolUse
checkPrevWindow,N,checkPrevWindow
checkReadToolResult,N,checkReadToolResult
checkReadToolUse,N,checkReadToolUse
checkRewindSignals,N,checkRewindSignals
checkSiblingSignal,N,checkSiblingSignal
checkSidecarEngineResult,N,checkSidecarEngineResult
checkUnifiedEngineResult,N,checkUnifiedEngineResult
chooseReference,N,chooseReference
chooseReferenceSource,N,chooseReferenceSource
chunkEntries,Y,buildBashReadChunkLineEntries
chunkEvent,Y,buildBashReadChunkEventFixture
chunkEventToEditRecord,N,chunkEventToEditRecord
chunkEventToReadEvent,N,chunkEventToReadEvent
classifyAllEntries,N,classifyAllEntries
classifyByWindows,N,classifyByWindows
classifyEdits,N,classifyEdits
classifyExpectedState,N,classifyExpectedState
classifyFileWrites,N,classifyFileWrites
classifyHistoryLine,N,classifyHistoryLine
classifyNotFoundTarget,N,classifyNotFoundTarget
classifyRewindType,N,classifyRewindType
classifySource,N,classifySource
classifySourceType,N,classifySourceType
classifyToolUseResult,N,classifyToolUseResult
clearAllPanes,N,clearAllPanes
clearCurrentState,N,clearCurrentState
clearPanes,Y,resetPanes
clearTypeGate,N,clearTypeGate
cloneEntriesForTimeline,N,cloneEntriesForTimeline
closeInspectPanel,N,closeInspectPanel
cmpVer,Y,compareVersions
collapseChains,N,collapseChains
collapseConflictCascades,N,collapseConflictCascades
collapseRun,N,collapseRun
collectAllJsonls,N,collectAllJsonls
collectAuthoredPaths,N,collectAuthoredPaths
collectBashReadTouches,N,collectBashReadTouches
collectChanges,N,collectChanges
collectDiffEntries,N,collectDiffEntries
collectDiffLines,N,collectDiffLines
collectDiffParts,N,collectDiffParts
collectEditsFromTranscripts,N,collectEditsFromTranscripts
collectGrepTouches,N,collectGrepTouches
collectGrepUseIds,N,collectGrepUseIds
collectKeys,N,collectKeys
collectMismatches,N,collectMismatches
collectPresentGroundTruthFiles,N,collectPresentGroundTruthFiles
collectSessionsForFile,N,collectSessionsForFile
collectSnapshotBackupEdits,N,collectSnapshotBackupEdits
collectTargetFiles,N,collectTargetFiles
collectTestsSubdirGroundTruthFiles,N,collectTestsSubdirGroundTruthFiles
collectTopLevelGroundTruthFiles,N,collectTopLevelGroundTruthFiles
collectTouches,N,collectTouches
collectUserPrompts,N,collectUserPrompts
collectVisibleChildren,N,collectVisibleChildren
collectWrittenFileNames,N,collectWrittenFileNames
compareByJsonlLine,Y,compareByJsonlLineIndex
compareCollapsedOutput,N,compareCollapsedOutput
compareEvents,N,compareEvents
compareLine,Y,compareLineForVerdict
compareMatches,N,compareMatches
compareTouchOrder,N,compareTouchOrder
computeActionablePassRate,N,computeActionablePassRate
computeDiff,N,computeDiff
computeGaps,N,computeGaps
computeOnDisk,N,computeOnDisk
computeRepoRelativePath,N,computeRepoRelativePath
computeResult,N,computeResult
computeShiftOffset,N,computeShiftOffset
configureFilter,N,configureFilter
confirmCatResult,N,confirmCatResult
confirmReadResult,N,confirmReadResult
confirmReadScan,N,confirmReadScan
confirmToolResult,N,confirmToolResult
conflictAgainstExisting,N,conflictAgainstExisting
conflictSortLine,N,conflictSortLine
contentLineSpans,Y,computeContentLineSpans
contextEntry,Y,buildPatchContextLineEntry
convertRewindToOneBased,N,convertRewindToOneBased
copyInstantMs,N,copyInstantMs
copyPatch,N,copyPatch
countByStatus,N,countByStatus
countContextOps,N,countContextOps
countEdits,N,countEdits
countSteps,N,countSteps
countUnexpectedFailures,N,countUnexpectedFailures
coveredTargetForSource,Y,findCoveredTargetForSource
createBelief,N,createBelief
createKindEvent,N,createKindEvent
cwdFromFolderName,Y,extractCwdFromFolderName
decorateCompareCheckboxes,N,decorateCompareCheckboxes
defaultBaseHistoryDir,Y,getDefaultBaseHistoryDir
defaultProjectsDir,Y,getDefaultProjectsDir
defaultSnapshotsBase,Y,getDefaultSnapshotsBase
degradeUntouchedToPresumed,N,degradeUntouchedToPresumed
deriveProjectRoots,N,deriveProjectRoots
describeAssembly,N,describeAssembly
describeCollapsedConflict,N,describeCollapsedConflict
detectBranches,N,detectBranches
detectDrift,N,detectDrift
detectFullContentDrift,N,detectFullContentDrift
detectGroundTruth,N,detectGroundTruth
detectRewinds,N,detectRewinds
diffAgainstPatch,N,diffAgainstPatch
diffLinesFor,N,diffLinesFor
discoverJsonls,N,discoverJsonls
discoverProjects,N,discoverProjects
distinctBasenames,N,distinctBasenames
distinctResolvedPaths,N,distinctResolvedPaths
dropEntriesBeyond,N,dropEntriesBeyond
dropTrailingObservationEdits,N,dropTrailingObservationEdits
dropTrailingReadPhantom,N,dropTrailingReadPhantom
earliestTouch,Y,findEarliestTouch
earliestTouchOfFile,Y,findEarliestTouchOfFile
editBelongsToFile,Y,doesEditBelongToFile
editsForFile,Y,collectEditsForFile
editWasKept,Y,wasEditKept
emit,Y,emitEvents
emitAgentStep,N,emitAgentStep
emitDriftStep,N,emitDriftStep
emitResultEvent,N,emitResultEvent
emptyStats,Y,createEmptyVerdictCounters
ensureFixtureDir,N,ensureFixtureDir
ensureImpliedLines,N,ensureImpliedLines
ensureNode,N,ensureNode
enumerateFileIdentities,N,enumerateFileIdentities
enumerateJsonlFiles,N,enumerateJsonlFiles
enumerateSubagentJsonls,N,enumerateSubagentJsonls
eofConfirmedAt,Y,findEofConfirmationLine
equalPrefixCount,Y,countEqualPrefixLines
equalSuffixCount,Y,countEqualSuffixLines
esc,Y,escapeHtml
eventHasAnyKind,Y,doesEventHaveAnyKind
eventsForOp,Y,extractEventsFromBashFileOp
eventsForResult,Y,extractEventsFromGrepToolResult
exportPatch,N,exportPatch
extractBashCatEdits,N,extractBashCatEdits
extractBashCommand,N,extractBashCommand
extractBashFileOps,N,extractBashFileOps
extractBlockText,N,extractBlockText
extractEditsFromJSONL,N,extractEditsFromJSONL
extractFileEvents,N,extractFileEvents
extractFileEventsFromText,N,extractFileEventsFromText
extractFirstText,N,extractFirstText
extractGrepToolResults,N,extractGrepToolResults
extractKeptEditsForFile,N,extractKeptEditsForFile
extractNewLines,N,extractNewLines
extractNonReadEditsFromArrayToolUseResult,N,extractNonReadEditsFromArrayToolUseResult
extractOldLines,N,extractOldLines
extractPathsFromLines,N,extractPathsFromLines
extractReadEvents,N,extractReadEvents
extractSessionId,N,extractSessionId
extractSessionMetadata,N,extractSessionMetadata
extractSessionStart,N,extractSessionStart
extractSnapshot,N,extractSnapshot
extractSnapshotEdits,N,extractSnapshotEdits
extractStepsFromJSONLs,N,extractStepsFromJSONLs
extractStepsFromSingleJSONL,N,extractStepsFromSingleJSONL
extractTextFromContent,N,extractTextFromContent
extractToolUseEdits,N,extractToolUseEdits
extractTurn,N,extractTurn
extractUserText,N,extractUserText
fail,Y,exitWithError
failingRecord,Y,buildMismatchProbeRecord
fileModifyingEventsInTranscript,Y,extractFileModifyingEventsFromTranscript
filterEditsForFile,N,filterEditsForFile
filterEditsToFile,N,filterEditsToFile
filterEventsByAliasWindows,N,filterEventsByAliasWindows
filterKeptEdits,N,filterKeptEdits
findBackupByBasename,N,findBackupByBasename
findBackupKeyForBlob,N,findBackupKeyForBlob
findBackwardJump,N,findBackwardJump
findBashCommandItem,N,findBashCommandItem
findCurrentOnDiskPath,N,findCurrentOnDiskPath
findEarliestFilePath,N,findEarliestFilePath
findEarliestReadContent,N,findEarliestReadContent
findExecutedFiles,N,findExecutedFiles
findFirstNonEmptyLine,N,findFirstNonEmptyLine
findFirstNonSelf,N,findFirstNonSelf
findFirstSnapAfter,N,findFirstSnapAfter
findHunkOffset,N,findHunkOffset
findLastBackupFileName,N,findLastBackupFileName
findLastSnapBefore,N,findLastSnapBefore
findLastSnapshotBlob,N,findLastSnapshotBlob
findLastSnapshotContent,N,findLastSnapshotContent
findLineInHunk,N,findLineInHunk
findNearestNextStep,N,findNearestNextStep
findNearestPrevStep,N,findNearestPrevStep
findNext,N,findNext
findNextStep,N,findNextStep
findPyFiles,N,findPyFiles
findReferencingJsonls,N,findReferencingJsonls
findReferencingJsonlsIncludingSubagents,N,findReferencingJsonlsIncludingSubagents
findScenarioJsonlPath,N,findScenarioJsonlPath
findSessionId,N,findSessionId
findSnapshotMatch,N,findSnapshotMatch
findStructuredPatchLine,N,findStructuredPatchLine
findSystemRecord,N,findSystemRecord
findToolName,N,findToolName
findToolResultText,N,findToolResultText
findToolUseInMessage,N,findToolUseInMessage
findTurnBoundaries,N,findTurnBoundaries
finishChunk,Y,finalizeChunk
finishWholeOverlay,N,finishWholeOverlay
firstAvailableSource,Y,findFirstAvailableReferenceSource
firstGapLine,Y,findFirstGapLine
firstMatchingLine,Y,findFirstMatchingTouchLine
firstMatchingSource,Y,findFirstContentMatchingReferenceSource
firstNonEmptyLine,Y,findFirstNonEmptyLine
firstTextItem,Y,findFirstTextContentItem
flattenChain,N,flattenChain
flattenedOutputName,Y,convertPathToFlatFilename
formatConversationFlow,N,formatConversationFlow
formatCounts,N,formatCounts
formatFlowStep,N,formatFlowStep
formatReport,N,formatReport
formatReportLine,N,formatReportLine
formatResults,N,formatResults
formatRewindSummary,N,formatRewindSummary
formatSignedOffset,N,formatSignedOffset
formatSingleResult,N,formatSingleResult
formatSingleRewind,N,formatSingleRewind
formatUnifiedPatch,N,formatUnifiedPatch
gatherAllOps,N,gatherAllOps
gatherFileEventsAcrossTranscripts,N,gatherFileEventsAcrossTranscripts
gatherGitSource,N,gatherGitSource
gatherGitSourceFromTranscript,N,gatherGitSourceFromTranscript
gatherOnDiskSource,N,gatherOnDiskSource
gatherReferenceSources,N,gatherReferenceSources
gatherSnapshotSource,N,gatherSnapshotSource
gatherSnapshotSourceFromTranscript,N,gatherSnapshotSourceFromTranscript
getActiveFilter,N,getActiveFilter
getComputedBadge,N,getComputedBadge
getComputedBody,N,getComputedBody
getContentArray,N,getContentArray
getJsonlFilesForFile,N,getJsonlFilesForFile
getMessageContent,N,getMessageContent
getMessageContentArray,N,getMessageContentArray
getModifiedFiles,N,getModifiedFiles
getNextBadge,N,getNextBadge
getNextBody,N,getNextBody
getNonReadType,N,getNonReadType
getPrevBadge,N,getPrevBadge
getPrevBody,N,getPrevBody
getRemovedOrMovedAwayPaths,N,getRemovedOrMovedAwayPaths
getRewindsBySource,N,getRewindsBySource
getRows,Y,fetchAllLineRows
getScenarioSubfolderPaths,N,getScenarioSubfolderPaths
getSelectedStepIndices,N,getSelectedStepIndices
getSnapshotBackups,N,getSnapshotBackups
getSnapshotContentForFile,N,getSnapshotContentForFile
getSnapshotTimestamp,N,getSnapshotTimestamp
getUserPromptPreview,N,getUserPromptPreview
gitAvailable,Y,isGitAvailable
gitFollowHistory,Y,resolveGitFollowHistory
gitShowFile,Y,readGitFileContent
gitUnavailable,Y,isGitUnavailable
grepEntries,N,grepEntries
grepEvent,N,grepEvent
grepFixture,N,grepFixture
grepFlagDisqualifies,N,grepFlagDisqualifies
grepMatchEventsForFile,N,grepMatchEventsForFile
groupConflictsByMoment,N,groupConflictsByMoment
groupEditsByFile,N,groupEditsByFile
groupEventsByMs,N,groupEventsByMs
groupFilesByFolder,N,groupFilesByFolder
groupRecordsIntoLists,N,groupRecordsIntoLists
groupRowsBySource,N,groupRowsBySource
groupTouchesByPath,N,groupTouchesByPath
handleRowClick,N,handleRowClick
handleToggle,N,handleToggle
hasDivergence,N,hasDivergence
hasFileModification,N,hasFileModification
hasObservation,N,hasObservation
hasOriginalFile,N,hasOriginalFile
hasSnapshot,N,hasSnapshot
hasWriteBetween,N,hasWriteBetween
hideNonEditRows,N,hideNonEditRows
hideNonRelevantRows,N,hideNonRelevantRows
highlightFileRelevantRows,N,highlightFileRelevantRows
highlightStepInAlllines,N,highlightStepInAlllines
highlightTreeFile,N,highlightTreeFile
hunksHaveContextLine,Y,doHunksHaveContextLine
indexFields,Y,buildJsonFieldToJsonlLineNumberMap
indexObject,Y,addObjectToJsonFieldToJsonlLineNumberMap
indexOfEventKind,Y,findIndexOfEventKind
indexParsedLine,Y,addParsedLineToUuidAndSnapshotLookups
indexVis,Y,addVisibleNodeToUuidNodeMap
initLayout,N,initLayout
insertPath,N,insertPath
isAgentJsonlName,N,isAgentJsonlName
isAgentText,N,isAgentText
isBeaconEvent,N,isBeaconEvent
isCommandArtifact,N,isCommandArtifact
isContentGrepUse,N,isContentGrepUse
isConv,N,isConv
isFileWrite,N,isFileWrite
isIgnoredByRewind,N,isIgnoredByRewind
isInProject,N,isInProject
isJsonlFile,N,isJsonlFile
isKeptEditStep,N,isKeptEditStep
isLineIgnoredByRewind,N,isLineIgnoredByRewind
isObservationEdit,N,isObservationEdit
isParallelToolUse,N,isParallelToolUse
isPerLineConflict,N,isPerLineConflict
isPlumbingNode,N,isPlumbingNode
isRenameOrCopy,N,isRenameOrCopy
isScaffoldingFile,N,isScaffoldingFile
isShortFlag,N,isShortFlag
isSinglePathStatus,N,isSinglePathStatus
isStepLine,N,isStepLine
isSubtreeActive,N,isSubtreeActive
isTempFilePath,N,isTempFilePath
isUsableNonReadReconstructionType,N,isUsableNonReadReconstructionType
isUserEditGap,N,isUserEditGap
isUserModifiedConflict,N,isUserModifiedConflict
isUserModifiedEvent,N,isUserModifiedEvent
isUserPrompt,N,isUserPrompt
isValidReadContent,N,isValidReadContent
isValidReadOutput,N,isValidReadOutput
isValidStdout,N,isValidStdout
isValidStringRead,N,isValidStringRead
isVerbatimWholeFile,N,isVerbatimWholeFile
isWholeFileSource,N,isWholeFileSource
isWriteConfirmation,N,isWriteConfirmation
jumpToField,N,jumpToField
keptEditsArrayFromText,Y,extractKeptEditsFromJsonlText
kindRank,Y,computeKindRank
knownRuns,Y,extractKnownRuns
labelIsBatch,Y,isLabelBatch
latestSnapshotBlob,Y,findLatestSnapshotBlob
latestTouch,Y,findLatestTouch
leadingShiftOffset,Y,computeLeadingShiftOffset
lineDiff,Y,computeLineDiff
lineNums,Y,extractLineNums
linesAndParsed,Y,parseJsonlLines
listJsonlFiles,N,listJsonlFiles
loadAllJsonlFilesInProjectsFolder,N,loadAllJsonlFilesInProjectsFolder
loadFromPath,N,loadFromPath
loadJSONL,N,loadJSONL
loadParsedRecord,N,loadParsedRecord
loadProbeResults,N,loadProbeResults
loadTargets,N,loadTargets
loadTranscriptTexts,N,loadTranscriptTexts
locateAllRunsContaining,N,locateAllRunsContaining
locateInRuns,N,locateInRuns
lse,Y,requireLineStateEvidence
main,Y,runMain
makeArrayToolUseResultLine,N,makeArrayToolUseResultLine
makeBashCatToolResult,Y,buildBashCatToolResult
makeBashCatToolUse,Y,buildBashCatToolUse
makeBashCommandLine,Y,buildBashCommandLine
makeBashPipedCatToolUse,Y,buildBashPipedCatToolUse
makeBashToolResult,Y,buildBashToolResult
makeBashToolUse,Y,buildBashToolUse
makeChunkReadResult,Y,buildChunkReadResult
makeChunkReadUse,Y,buildChunkReadUse
makeClaimEntry,N,makeClaimEntry
makeCreateLine,N,makeCreateLine
makeDirToggle,N,makeDirToggle
makeEdit,Y,buildEditFixture
makeEditLine,Y,buildEditLine
makeEditLineWithHunks,N,makeEditLineWithHunks
makeEditLineWithPatch,N,makeEditLineWithPatch
makeEditWithPatch,N,makeEditWithPatch
makeEditWithPatchAndOriginal,N,makeEditWithPatchAndOriginal
makeExcerpt,N,makeExcerpt
makeFileClick,N,makeFileClick
makeFloatingConflict,N,makeFloatingConflict
makeGrepToolResult,Y,buildGrepToolResult
makeGrepToolUse,Y,buildGrepToolUse
makeInsertionCascade,N,makeInsertionCascade
makeKindEvent,Y,buildKindEvent
makeLineConflict,N,makeLineConflict
makeNonEditLine,N,makeNonEditLine
makeObservationOnly,N,makeObservationOnly
makeProjectWithMainSession,N,makeProjectWithMainSession
makeReadToolResult,N,makeReadToolResult
makeReadToolResultArrayBlocks,N,makeReadToolResultArrayBlocks
makeReadToolResultWithTimestamp,N,makeReadToolResultWithTimestamp
makeReadToolUse,N,makeReadToolUse
makeReadToolUseWithLimit,N,makeReadToolUseWithLimit
makeReadUseWithGeometry,N,makeReadUseWithGeometry
makeRepo,N,makeRepo
makeSnapshotLine,N,makeSnapshotLine
makeStep,Y,buildStep
makeSystemLine,N,makeSystemLine
makeUnknownEntry,N,makeUnknownEntry
makeUpdateLine,N,makeUpdateLine
markActive,N,markActive
matchedAliasPathForSnapshotKey,Y,matchAliasPathToSnapshotKey
matchesTargetFile,Y,doesMatchTargetFile
materializeBashAppend,Y,materializeBashAppendEvidence
materializeBashExtent,Y,materializeBashExtentEvidence
materializeBashGrep,Y,materializeBashGrepEvidence
materializeBashReadChunk,Y,materializeBashReadChunkEvidence
materializeBashRm,Y,materializeBashRmEvidence
materializeBashTruncate,Y,materializeBashTruncateEvidence
materializeByLineKind,Y,materializeByLineKind
materializeEdit,Y,materializeEditEvidence
materializeEvent,Y,materializeEventEvidence
materializeGrepMatches,Y,materializeGrepMatchEvidence
materializeOriginalFile,Y,materializeOriginalFileEvidence
materializePatchContext,Y,materializePatchContextEvidence
materializeSnapshot,Y,materializeSnapshotEvidence
materializeUserModified,Y,materializeUserModifiedEvidence
materializeWrite,Y,materializeWriteEvidence
maxByLineNum,Y,findMaxByLineNum
maxLineNum,Y,findMaxLineNum
maybePromotePerLine,N,maybePromotePerLine
mentionsFile,Y,doesMentionFile
mergeAliasPaths,N,mergeAliasPaths
mergeExistingFindings,N,mergeExistingFindings
mergeExternalEdits,N,mergeExternalEdits
messageContent,Y,extractMessageContent
mismatchEntryKey,Y,computeMismatchEntryKey
momentKey,Y,computeMomentKey
newAcc,Y,createAccumulator
nextMatch,Y,selectNextMatch
nodeTypeOf,Y,detectNodeType
nonEmptySpan,Y,validateNonEmptySpan
numberedEntries,Y,buildNumberedEntries
numberedLineEntries,Y,buildNumberedLineEntries
offsetEntries,Y,applyOffsetToEntries
ofState,Y,classifyOriginalFileState
onDiskSource,Y,buildOnDiskReferenceSource
onFileSelected,N,onFileSelected
onFilterModeChange,N,onFilterModeChange
onJsonlLoaded,N,onJsonlLoaded
onLoad,N,onLoad
onNonStepLineClick,N,onNonStepLineClick
openFilePicker,N,openFilePicker
opEvents,Y,extractBashOpEventsFromTestLines
orderTranscriptsByFirstTouch,N,orderTranscriptsByFirstTouch
origFile,Y,extractOrigFile
originalFileEventsFromEdits,Y,extractOriginalFileEventsFromEdits
outputJson,Y,writeJsonOutput
outputText,Y,writeTextOutput
overlayLine,Y,applyOverlayLine
pair,Y,buildTimestampedCommandResultPair
pairContentLines,Y,pairContentLines
pairEntriesWithRefs,Y,pairEntriesWithReferences
parseAllLines,N,parseAllLines
parseAnyBashFileOp,N,parseAnyBashFileOp
parseArgs,N,parseArgs
parseBashCpCommand,N,parseBashCpCommand
parseBashGitMvCommand,N,parseBashGitMvCommand
parseBashMvCommand,N,parseBashMvCommand
parseBashReadCommand,N,parseBashReadCommand
parseBashRedirectCommand,N,parseBashRedirectCommand
parseBashRmCommand,N,parseBashRmCommand
parseCliArgs,N,parseCliArgs
parsedFrom,Y,parseJsonlLinesToRecords
parseExecutedFile,N,parseExecutedFile
parseFlag,N,parseFlag
parseGrep,N,parseGrep
parseGrepRows,N,parseGrepRows
parseHead,N,parseHead
parseJsonLine,N,parseJsonLine
parseJsonlLines,Y,parseUnifiedJsonlLines
parseJSONLLines,Y,parseTranscriptRecords
parseJsonlWithSession,Y,loadJsonlWithSession
parseLines,Y,parseRawLines
parseNumberedContent,N,parseNumberedContent
parseProbeArgs,N,parseProbeArgs
parseProjectsDir,N,parseProjectsDir
parseRecords,N,parseRecords
parseRenameHistory,N,parseRenameHistory
parseSed,N,parseSed
parseSingleLine,N,parseSingleLine
parseSnapshotsFlag,N,parseSnapshotsFlag
parseTail,N,parseTail
parseToParsed,Y,parseRawLinesToJsonRecords
parseWc,Y,parseWcOutput
partitionAttachments,Y,partitionAttachments
passing,Y,countPassing
passingRecord,Y,buildPassingProbeRecord
patch,Y,buildPatchFixture
